site,profile,depth_cm,do_percent,do_mgL,temp_c,conduc
UpperLawrence2,1,1,45.2,5.72,13.3,121
UpperLawrence2,1,10,41.3,4.4,12.5,120
UpperLawrence2,1,20,41.2,4.38,12,119.2
UpperLawrence2,1,30,39.1,4.23,11.6,122.6
UpperLawrence2,1,40,37.9,4.14,11.3,122.1
UpperLawrence2,1,50,37.6,4.15,11.1,122.3
UpperLawrence2,1,60,37.8,4.16,11,122.9
UpperLawrence2,1,70,37.6,4.16,10.9,123.7
UpperLawrence2,1,80,37.7,4.17,10.8,124.5
UpperLawrence2,1,90,37.9,4.2,10.8,123.6
UpperLawrence2,1,100,38,4.22,10.8,123.5
UpperLawrence2,1,110,38.2,4.24,10.7,124.8
UpperLawrence2,1,120,38.2,4.23,10.8,124.8
UpperLawrence1,1,1,59.7,5.4,11.4,140.6
UpperLawrence1,1,10,48.3,5.27,11.2,146
UpperLawrence1,1,20,47.3,5.2,11.1,143.4
UpperLawrence1,1,30,50.6,5.48,11.2,147.8
UpperLawrence1,1,40,47.3,5.2,10.7,146.5
UpperLawrence1,1,50,46,5.16,10.3,146.8
UpperLawrence1,1,60,45.1,5.02,10.3,146.7
UpperLawrence1,1,70,48.8,5.43,10.4,147
UpperLawrence1,1,80,41.5,4.65,10.1,148.9
UpperLawrence1,1,90,42,4.76,10,150.2
UpperLawrence3,1,1,50.1,5.4,11.9,133.2
UpperLawrence3,1,10,49.9,5.45,11.3,127
UpperLawrence3,1,20,48.5,5.35,10.8,141.8
UpperLawrence3,1,30,47.8,5.28,10.7,137.5
UpperLawrence3,1,40,47.3,5.27,10.7,138
UpperLawrence3,1,50,47.5,5.3,10.6,140.9
UpperLawrence3,1,60,47.8,5.35,10.5,145.1
UpperLawrence3,1,70,48.6,5.43,10.5,147.5
UpperLawrence3,1,80,49.3,5.56,10.4,150.3
UpperLawrence3,1,90,52.2,5.86,10.4,152.2
UpperLawrence3,1,100,57.9,6.56,10.5,152.2
UpperLawrence3,1,110,70.7,7.84,10.6,152.7
UpperLawrence3,1,120,50.9,5.66,10.5,152.6
UpperLawrence3,1,130,49.6,5.56,10.4,152.8
UpperLawrence3,1,140,48.5,5.41,10.3,152.9
UpperLawrence3,1,150,50,5.6,10.3,153
UpperLawrence3,2,1,48.6,5.33,11.4,132.2
UpperLawrence3,2,10,48.2,5.28,11.2,136.8
UpperLawrence3,2,20,47.8,5.26,11.1,143.1
UpperLawrence3,2,30,47.9,5.28,10.9,142.2
UpperLawrence3,2,40,47.4,5.31,10.7,144.2
UpperLawrence3,2,50,51.3,5.72,10.5,145.5
UpperLawrence3,2,60,51,5.7,10.4,146.4
UpperLawrence3,2,70,50.6,5.62,10.4,150.8
UpperLawrence3,2,80,48.5,5.38,10.4,152.8
UpperLawrence3,2,90,47.1,5.24,10.4,153.3
UpperLawrence3,2,100,46.3,5.18,10.4,153.4
UpperLawrence3,2,110,46,5.14,10.3,153.9
LowerLawrence,1,1,42,4.31,14.2,135
LowerLawrence,1,10,35.9,3.7,13.3,130.5
LowerLawrence,1,20,33.6,3.53,12.9,137.8
LowerLawrence,1,30,30.9,3.29,12.4,142.5
LowerLawrence,1,40,26,2.79,11.6,140.9
LowerLawrence,1,50,23.2,2.5,11.3,148.1
LowerLawrence,1,60,21.5,2.35,11.1,150.9
LowerLawrence,1,70,20.5,2.24,11,167.9
LowerLawrence,1,80,18.4,2,10.8,170
LowerLawrence,1,90,17.4,1.92,10.8,170.4
LowerLawrence,2,1,38.4,3.9,13.2,149.5
LowerLawrence,2,10,31.3,3.29,13,150.7
LowerLawrence,2,20,31.1,3.27,12.9,150
LowerLawrence,2,30,30.5,3.21,12.8,148.5
LowerLawrence,2,40,25,2.68,12.6,146.6
FishGulch,1,1,64.8,6.96,12.2,90.7
FishGulch,1,10,64.8,6.96,12.1,91.5
FishGulch,1,20,61.5,6.66,11.9,91.8
FishGulch,1,30,61.5,6.61,11.8,91.7
FishGulch,1,40,48.3,5.27,11.5,92.3
FishGulch,1,50,45.8,5.02,11.1,92.8
FishGulch,1,60,43,4.7,11,93.1
FishGulch,1,70,34.4,3.76,10.9,92.2
FishGulch,1,80,22.2,2.53,10.6,92.8
FishGulch,1,90,26.4,2.96,10.4,93
FishGulch,1,100,26.6,2.95,10.3,94.6
FishGulch,1,110,30.6,3.47,10.1,94.1
FishGulch,1,120,31.4,3.55,9.9,93
FishGulch,1,130,31.4,3.55,9.8,93.4
FishGulch,1,140,31.1,3.52,9.7,92.7
FishGulch,1,150,30,3.4,9.6,91.6
FishGulch,2,1,67.5,7.12,12.7,85.3
FishGulch,2,10,64.5,6.87,12.2,86.8
FishGulch,2,20,62.5,6.72,12.1,91.9
FishGulch,2,30,59.3,6.3,11.8,91.7
FishGulch,2,40,67.2,6.17,11.8,91.7
FishGulch,2,50,48.5,5.35,10.7,93
FishGulch,2,60,47.2,5.24,10.4,93.9
FishGulch,2,70,46.4,5.18,10.5,92.9
FishGulch,2,80,41.2,4.85,9.8,93.3
FishGulch,2,90,38.4,4.25,9.3,94.3
Goodman,1,1,23.5,2.42,12.1,160.1
Goodman,1,10,20.3,2.14,11.8,161.6
Goodman,1,20,18.4,1.98,11.7,163.4
Goodman,1,30,16.8,1.77,11.5,165.4
Goodman,1,40,14.1,1.55,11.2,167.3
Goodman,1,50,13.8,1.51,11.1,167.4
Goodman,1,60,13.5,1.49,11,166.7
Goodman,1,70,13.3,1.46,11,167.6
Goodman,1,80,12.9,1.43,10.9,168.7
Goodman,1,90,12.9,1.44,10.6,171.3
Goodman,1,100,12.9,1.44,10.5,176
Goodman,1,110,12.2,1.37,10.2,183.4
Goodman,1,120,11.6,1.3,10,187.2
Goodman,1,130,19.6,2.25,10,190
Goodman,1,140,19.8,2.21,10.2,190
Goodman,1,150,18.9,2.07,10.2,188.5
May,1,1,63.1,6.42,14.8,218.5
May,1,10,58.9,6.02,14.4,182.4
May,1,20,49.8,5.22,13.2,182.3
May,1,30,48.6,5.07,13.4,186.9
May,1,40,47.7,4.99,13.2,188.8
May,1,50,42.6,4.52,12.6,183.3
May,1,60,42,4.46,12.5,181.3
May,1,70,40.8,4.34,12.4,179.5
May,1,80,39,4.15,12.3,179.7
May,1,90,37.6,4.05,12.1,179.5
May,1,100,37.8,4.07,12,179.1
May,1,110,37.4,4.04,12,179.3
May,1,120,37.7,4.06,12,178.7
May,1,130,37.2,4,11.9,178.4
May,1,140,36.7,3.96,11.9,178.2
May,1,150,31.7,3.41,11.9,179.8
May,1,160,30,3.17,11.9,177.6
May,1,170,28.8,3.1,11.9,177.5
May,2,1,52.6,5.4,14.1,181.9
May,2,10,52.1,5.28,14.4,181.5
May,2,20,48.8,5.1,13.4,183.8
May,2,30,48.6,5.07,13.4,183.7
May,2,40,48.1,5.05,13.2,182.5
May,2,50,47.4,4.99,13,181.4
May,2,60,46.6,4.94,12.7,180.6
May,2,70,46.4,4.92,12.7,180.1
May,2,80,45.8,4.89,12.5,180.1
May,2,90,45.6,4.87,12.4,179.6
May,2,100,45,4.81,12.3,179.1
May,2,110,44.9,4.84,12.2,180.2
May,2,120,45.4,4.9,12,179.8
May,2,130,45.6,4.93,11.9,179.1
May,2,140,45.8,4.96,11.8,179.3
May,2,150,46,4.97,11.8,178.4
Alexander,1,1,62.2,6.22,15.1,82.3
Alexander,1,10,61.9,6.23,15.1,97.7
Alexander,1,20,62.3,6.26,15.1,97.3
Alexander,1,30,62.2,6.25,15.1,98
Alexander,1,40,61.7,6.12,15.1,99
Alexander,1,50,59.4,5.96,15.1,99.1
Alexander,1,60,58.2,5.84,15.1,98.7
Alexander,1,70,50.4,5.08,14.9,98.7
Alexander,1,80,49.5,5,14.9,98.8
Alexander,1,90,47,4.77,14.7,97.9
Alexander,1,100,44,4.48,14.4,99.5
Alexander,1,110,42,4.28,14.2,99.5
Alexander,1,120,25,2.55,13.9,100.5
Alexander,1,130,11.6,1.18,13.8,101.2
Alexander,1,140,4.2,0.44,13.8,101.3
Alexander,1,150,2.3,0.23,13.7,101.5
Alexander,1,160,0.3,0.03,13.3,103.7
Alexander,2,1,60.2,6.04,15.1,94.1
Alexander,2,10,59.2,5.96,15,99
Alexander,2,20,58.5,5.89,15,99.9
Alexander,2,30,56.7,5.71,15,98.2
Alexander,2,40,56.6,5.7,15,99.1
Alexander,2,50,55.3,5.57,14.9,98.8
Alexander,2,60,54.7,5.5,14.9,97
Alexander,2,70,44.4,4.52,14.6,100
Alexander,2,80,44.1,5.57,14.6,100
Alexander,2,90,33.5,3.42,13.7,100.9
Stender,1,1,78.5,7.9,15,215.9
Stender,1,10,78.5,8,14.9,215.6
Stender,1,20,81.6,8.3,14.8,215.2
Stender,1,30,82.4,8.38,14.7,216.9
Stender,1,40,75.7,7.68,14.5,217.6
Stender,1,50,68.4,6.96,14.3,212.9
Stender,1,60,50.2,5.16,14.1,211.4
Stender,1,70,27,2.78,13.9,213.7
Stender,2,1,70.4,7.08,14.7,215.3
Stender,2,10,66.2,6.68,14.7,208.5
Stender,2,20,65.4,6.63,14.7,215.6
Stender,2,30,63.5,6.4,14.6,218.7
Stender,2,40,60,6.05,14.6,218.1
Stender,2,50,47.5,4.78,14.5,218.3
Stender,2,60,51,5.25,14.5,219.5
Stender,2,70,52.3,5.35,14.3,219.8
Stender,2,80,49,5,14,220
Stender,2,90,40,4.18,13.6,222.2
Durazo,1,1,149.9,14.2,18.5,197
Durazo,1,10,139,13.36,17.1,198
