UID,date_time,DO_mg/L,temp_c
1,7/6/2020 12:00,8.31,20.6
2,7/6/2020 12:05,8.3,20.7
3,7/6/2020 12:10,8.29,20.8
4,7/6/2020 12:15,8.3,20.9
5,7/6/2020 12:20,8.3,21
6,7/6/2020 12:25,8.28,21.12
7,7/6/2020 12:30,8.27,21.24
8,7/6/2020 12:35,8.26,21.34
9,7/6/2020 12:40,8.23,21.46
10,7/6/2020 12:45,8.22,21.56
11,7/6/2020 12:50,8.21,21.68
12,7/6/2020 12:55,8.19,21.8
13,7/6/2020 13:00,8.17,21.92
14,7/6/2020 13:05,8.15,22.04
15,7/6/2020 13:10,8.08,22.18
16,7/6/2020 13:15,8.07,22.32
17,7/6/2020 13:20,8.04,22.48
18,7/6/2020 13:25,8.03,22.66
19,7/6/2020 13:30,8.01,22.86
20,7/6/2020 13:35,8.02,23.06
21,7/6/2020 13:40,7.99,23.24
22,7/6/2020 13:45,7.97,23.44
23,7/6/2020 13:50,7.94,23.64
24,7/6/2020 13:55,7.93,23.82
25,7/6/2020 14:00,7.9,24.02
26,7/6/2020 14:05,7.89,24.2
27,7/6/2020 14:10,7.86,24.4
28,7/6/2020 14:15,7.87,24.6
29,7/6/2020 14:20,7.85,24.8
30,7/6/2020 14:25,7.86,24.98
31,7/6/2020 14:30,7.86,25.14
32,7/6/2020 14:35,7.83,25.28
33,7/6/2020 14:40,7.84,25.4
34,7/6/2020 14:45,7.81,25.54
35,7/6/2020 14:50,7.75,25.58
36,7/6/2020 14:55,7.77,25.6
37,7/6/2020 15:00,7.76,25.68
38,7/6/2020 15:05,7.75,25.74
39,7/6/2020 15:10,7.73,25.82
40,7/6/2020 15:15,7.71,25.9
41,7/6/2020 15:20,7.69,25.98
42,7/6/2020 15:25,7.72,26.04
43,7/6/2020 15:30,7.73,26.04
44,7/6/2020 15:35,7.75,26.02
45,7/6/2020 15:40,7.75,26.02
46,7/6/2020 15:45,7.72,26.06
47,7/6/2020 15:50,7.72,26.1
48,7/6/2020 15:55,7.7,26.14
49,7/6/2020 16:00,7.69,26.16
50,7/6/2020 16:05,7.68,26.2
51,7/6/2020 16:10,7.66,26.24
52,7/6/2020 16:15,7.65,26.28
53,7/6/2020 16:20,7.64,26.32
54,7/6/2020 16:25,7.63,26.36
55,7/6/2020 16:30,7.62,26.4
56,7/6/2020 16:35,7.6,26.44
57,7/6/2020 16:40,7.59,26.48
58,7/6/2020 16:45,7.59,26.52
59,7/6/2020 16:50,7.57,26.56
60,7/6/2020 16:55,7.57,26.6
61,7/6/2020 17:00,7.56,26.64
62,7/6/2020 17:05,7.55,26.68
63,7/6/2020 17:10,7.54,26.72
64,7/6/2020 17:15,7.53,26.76
65,7/6/2020 17:20,7.53,26.8
66,7/6/2020 17:25,7.52,26.82
67,7/6/2020 17:30,7.51,26.86
68,7/6/2020 17:35,7.51,26.88
69,7/6/2020 17:40,7.5,26.9
70,7/6/2020 17:45,7.5,26.92
71,7/6/2020 17:50,7.49,26.94
72,7/6/2020 17:55,7.48,26.96
73,7/6/2020 18:00,7.48,26.96
74,7/6/2020 18:05,7.47,26.98
75,7/6/2020 18:10,7.47,27
76,7/6/2020 18:15,7.46,27
77,7/6/2020 18:20,7.45,27.02
78,7/6/2020 18:25,7.36,27.02
79,7/6/2020 18:30,7.39,27.02
80,7/6/2020 18:35,7.37,27.04
81,7/6/2020 18:40,7.36,27.04
82,7/6/2020 18:45,7.35,27.02
83,7/6/2020 18:50,7.3,27.02
84,7/6/2020 18:55,7.3,27
85,7/6/2020 19:00,7.28,27
86,7/6/2020 19:05,7.26,26.98
87,7/6/2020 19:10,7.24,26.98
88,7/6/2020 19:15,7.22,26.98
89,7/6/2020 19:20,7.22,26.98
90,7/6/2020 19:25,7.2,26.98
91,7/6/2020 19:30,7.17,26.98
92,7/6/2020 19:35,7.17,26.98
93,7/6/2020 19:40,7.17,26.98
94,7/6/2020 19:45,7.17,26.98
95,7/6/2020 19:50,7.17,26.98
96,7/6/2020 19:55,7.17,26.96
97,7/6/2020 20:00,7.17,26.96
98,7/6/2020 20:05,7.17,26.96
99,7/6/2020 20:10,7.17,26.94
100,7/6/2020 20:15,7.17,26.92
101,7/6/2020 20:20,7.17,26.88
102,7/6/2020 20:25,7.17,26.86
103,7/6/2020 20:30,7.17,26.82
104,7/6/2020 20:35,7.17,26.78
105,7/6/2020 20:40,7.17,26.74
106,7/6/2020 20:45,7.17,26.68
107,7/6/2020 20:50,7.16,26.64
108,7/6/2020 20:55,7.17,26.58
109,7/6/2020 21:00,7.17,26.54
110,7/6/2020 21:05,7.18,26.48
111,7/6/2020 21:10,7.18,26.42
112,7/6/2020 21:15,7.18,26.36
113,7/6/2020 21:20,7.18,26.3
114,7/6/2020 21:25,7.19,26.24
115,7/6/2020 21:30,7.19,26.18
116,7/6/2020 21:35,7.19,26.12
117,7/6/2020 21:40,7.2,26.06
118,7/6/2020 21:45,7.21,26.02
119,7/6/2020 21:50,7.21,25.96
120,7/6/2020 21:55,7.21,25.9
121,7/6/2020 22:00,7.22,25.84
122,7/6/2020 22:05,7.23,25.78
123,7/6/2020 22:10,7.23,25.72
124,7/6/2020 22:15,7.24,25.66
125,7/6/2020 22:20,7.24,25.6
126,7/6/2020 22:25,7.24,25.56
127,7/6/2020 22:30,7.25,25.5
128,7/6/2020 22:35,7.26,25.44
129,7/6/2020 22:40,7.27,25.38
130,7/6/2020 22:45,7.28,25.32
131,7/6/2020 22:50,7.28,25.26
132,7/6/2020 22:55,7.29,25.2
133,7/6/2020 23:00,7.3,25.12
134,7/6/2020 23:05,7.3,25.06
135,7/6/2020 23:10,7.31,25
136,7/6/2020 23:15,7.32,24.94
137,7/6/2020 23:20,7.33,24.88
138,7/6/2020 23:25,7.33,24.82
139,7/6/2020 23:30,7.33,24.74
140,7/6/2020 23:35,7.35,24.68
141,7/6/2020 23:40,7.36,24.62
142,7/6/2020 23:45,7.36,24.56
143,7/6/2020 23:50,7.37,24.48
144,7/6/2020 23:55,7.38,24.42
145,7/7/2020 0:00,7.39,24.36
146,7/7/2020 0:05,7.4,24.28
147,7/7/2020 0:10,7.4,24.22
148,7/7/2020 0:15,7.41,24.16
149,7/7/2020 0:20,7.42,24.08
150,7/7/2020 0:25,7.43,24.02
151,7/7/2020 0:30,7.45,23.94
152,7/7/2020 0:35,7.45,23.88
153,7/7/2020 0:40,7.45,23.8
154,7/7/2020 0:45,7.47,23.74
155,7/7/2020 0:50,7.48,23.66
156,7/7/2020 0:55,7.49,23.6
157,7/7/2020 1:00,7.49,23.52
158,7/7/2020 1:05,7.51,23.46
159,7/7/2020 1:10,7.52,23.38
160,7/7/2020 1:15,7.52,23.32
161,7/7/2020 1:20,7.53,23.24
162,7/7/2020 1:25,7.55,23.16
163,7/7/2020 1:30,7.55,23.1
164,7/7/2020 1:35,7.56,23.02
165,7/7/2020 1:40,7.57,22.94
166,7/7/2020 1:45,7.58,22.86
167,7/7/2020 1:50,7.6,22.8
168,7/7/2020 1:55,7.61,22.72
169,7/7/2020 2:00,7.61,22.64
170,7/7/2020 2:05,7.63,22.56
171,7/7/2020 2:10,7.63,22.48
172,7/7/2020 2:15,7.64,22.4
173,7/7/2020 2:20,7.66,22.32
174,7/7/2020 2:25,7.67,22.24
175,7/7/2020 2:30,7.68,22.16
176,7/7/2020 2:35,7.69,22.08
177,7/7/2020 2:40,7.7,22
178,7/7/2020 2:45,7.71,21.92
179,7/7/2020 2:50,7.73,21.84
180,7/7/2020 2:55,7.74,21.74
181,7/7/2020 3:00,7.75,21.66
182,7/7/2020 3:05,7.76,21.58
183,7/7/2020 3:10,7.77,21.5
184,7/7/2020 3:15,7.79,21.4
185,7/7/2020 3:20,7.8,21.32
186,7/7/2020 3:25,7.81,21.24
187,7/7/2020 3:30,7.82,21.14
188,7/7/2020 3:35,7.84,21.06
189,7/7/2020 3:40,7.85,20.96
190,7/7/2020 3:45,7.86,20.88
191,7/7/2020 3:50,7.87,20.78
192,7/7/2020 3:55,7.89,20.7
193,7/7/2020 4:00,7.9,20.6
194,7/7/2020 4:05,7.91,20.52
195,7/7/2020 4:10,7.93,20.42
196,7/7/2020 4:15,7.94,20.34
197,7/7/2020 4:20,7.95,20.24
198,7/7/2020 4:25,7.97,20.16
199,7/7/2020 4:30,7.99,20.06
200,7/7/2020 4:35,8,19.98
201,7/7/2020 4:40,8.01,19.88
202,7/7/2020 4:45,8.02,19.78
203,7/7/2020 4:50,8.04,19.7
204,7/7/2020 4:55,8.06,19.6
205,7/7/2020 5:00,8.07,19.52
206,7/7/2020 5:05,8.08,19.42
207,7/7/2020 5:10,8.1,19.34
208,7/7/2020 5:15,8.12,19.24
209,7/7/2020 5:20,8.13,19.16
