"","day","site","value"
"1",2020-07-16,"AP",22.26
"2",2020-07-17,"AP",22.18
"3",2020-07-18,"AP",22.31
"4",2020-07-19,"AP",22.39
"5",2020-07-20,"AP",22.56
"6",2020-07-21,"AP",22.65
"7",2020-07-22,"AP",23.03
"8",2020-07-23,"AP",22.39
"9",2020-07-24,"AP",22.13
"10",2020-07-25,"AP",21.88
"11",2020-07-26,"AP",23.03
"12",2020-07-27,"AP",22.48
"13",2020-07-28,"AP",23.46
"14",2020-07-29,"AP",23.03
"15",2020-07-30,"AP",22.73
"16",2020-07-31,"AP",21.75
"17",2020-08-01,"AP",21.75
"18",2020-08-02,"AP",21.7
"19",2020-08-03,"AP",21.79
"20",2020-08-04,"AP",22.26
"21",2020-08-05,"AP",23.08
"22",2020-08-06,"AP",21.92
"23",2020-08-07,"AP",21.19
"24",2020-08-08,"AP",21.49
"25",2020-08-09,"AP",22.05
"26",2020-08-10,"AP",22.13
"27",2020-08-11,"AP",22.82
"28",2020-08-12,"AP",21.19
"29",2020-08-13,"AP",21.1
"30",2020-08-14,"AP",21.45
"31",2020-08-15,"AP",22.26
"32",2020-08-16,"AP",21.75
"33",2020-08-17,"AP",21.32
"34",2020-08-18,"AP",22.39
"35",2020-08-19,"AP",21.15
"36",2020-08-20,"AP",20.55
"37",2020-08-21,"AP",20.76
"38",2020-08-22,"AP",21.19
"39",2020-08-23,"AP",20.46
"40",2020-08-24,"AP",18.83
"41",2020-08-25,"AP",19.9
"42",2020-08-26,"AP",20.12
"43",2020-08-27,"AP",20.25
"44",2020-08-28,"AP",20.98
"45",2020-08-29,"AP",20.29
"46",2020-08-30,"AP",19.56
"47",2020-08-31,"AP",19.13
"48",2020-09-01,"AP",20.42
"49",2020-09-02,"AP",21.15
"50",2020-09-03,"AP",20.85
"51",2020-09-04,"AP",20.29
"52",2020-09-05,"AP",19.09
"53",2020-09-06,"AP",18.92
"54",2020-09-07,"AP",19.99
"55",2020-09-08,"AP",18.66
"56",2020-09-09,"AP",19.13
"57",2020-09-10,"AP",18.62
"58",2020-09-11,"AP",17.29
"59",2020-09-12,"AP",16.17
"60",2020-09-13,"AP",15.36
"61",2020-09-14,"AP",15.61
"62",2020-07-16,"SP",18.555
"63",2020-07-17,"SP",18.485
"64",2020-07-18,"SP",18.83
"65",2020-07-19,"SP",19.025
"66",2020-07-20,"SP",19.195
"67",2020-07-21,"SP",19.235
"68",2020-07-22,"SP",19.71
"69",2020-07-23,"SP",19.925
"70",2020-07-24,"SP",19.905
"71",2020-07-25,"SP",19.345
"72",2020-07-26,"SP",19.15
"73",2020-07-27,"SP",19.625
"74",2020-07-28,"SP",20.14
"75",2020-07-29,"SP",19.365
"76",2020-07-30,"SP",19.045
"77",2020-07-31,"SP",18.635
"78",2020-08-01,"SP",18.23
"79",2020-08-02,"SP",17.975
"80",2020-08-03,"SP",17.84
"81",2020-08-04,"SP",18.34
"82",2020-08-05,"SP",18.83
"83",2020-08-06,"SP",18.96
"84",2020-08-07,"SP",18.79
"85",2020-08-08,"SP",18.165
"86",2020-08-09,"SP",18.29
"87",2020-08-10,"SP",18.575
"88",2020-08-11,"SP",18.66
"89",2020-08-12,"SP",18.66
"90",2020-08-13,"SP",18.145
"91",2020-08-14,"SP",18.08
"92",2020-08-15,"SP",18.895
"93",2020-08-16,"SP",19.13
"94",2020-08-17,"SP",19.235
"95",2020-08-18,"SP",19.71
"96",2020-08-19,"SP",19.62
"97",2020-08-20,"SP",18.77
"98",2020-08-21,"SP",18.445
"99",2020-08-22,"SP",18.485
"100",2020-08-23,"SP",18.445
"101",2020-08-24,"SP",17.89
"102",2020-08-25,"SP",17.2
"103",2020-08-26,"SP",17.095
"104",2020-08-27,"SP",17.205
"105",2020-08-28,"SP",17.59
"106",2020-08-29,"SP",17.545
"107",2020-08-30,"SP",17.585
"108",2020-08-31,"SP",17.245
"109",2020-09-01,"SP",17.18
"110",2020-09-02,"SP",17.675
"111",2020-09-03,"SP",18.12
"112",2020-09-04,"SP",18.145
"113",2020-09-05,"SP",17.885
"114",2020-09-06,"SP",16.855
"115",2020-09-07,"SP",16.835
"116",2020-09-08,"SP",16.985
"117",2020-09-09,"SP",16.96
"118",2020-09-10,"SP",16.815
"119",2020-09-11,"SP",16.215
"120",2020-09-12,"SP",15.315
"121",2020-09-13,"SP",14.565
"122",2020-09-14,"SP",13.92
"123",2020-07-16,"Durazo",17.03
"124",2020-07-17,"Durazo",16.9
"125",2020-07-18,"Durazo",16.9
"126",2020-07-19,"Durazo",16.94
"127",2020-07-20,"Durazo",17.11
"128",2020-07-21,"Durazo",17.11
"129",2020-07-22,"Durazo",17.33
"130",2020-07-23,"Durazo",17.54
"131",2020-07-24,"Durazo",17.29
"132",2020-07-25,"Durazo",17.11
"133",2020-07-26,"Durazo",17.2
"134",2020-07-27,"Durazo",16.9
"135",2020-07-28,"Durazo",18.19
"136",2020-07-29,"Durazo",17.84
"137",2020-07-30,"Durazo",17.8
"138",2020-07-31,"Durazo",17.5
"139",2020-08-01,"Durazo",17.29
"140",2020-08-02,"Durazo",17.24
"141",2020-08-03,"Durazo",17.11
"142",2020-08-04,"Durazo",17.41
"143",2020-08-05,"Durazo",17.63
"144",2020-08-06,"Durazo",17.63
"145",2020-08-07,"Durazo",17.24
"146",2020-08-08,"Durazo",16.77
"147",2020-08-09,"Durazo",17.11
"148",2020-08-10,"Durazo",17.16
"149",2020-08-11,"Durazo",17.24
"150",2020-08-12,"Durazo",16.94
"151",2020-08-13,"Durazo",16.81
"152",2020-08-14,"Durazo",16.94
"153",2020-08-15,"Durazo",17.41
"154",2020-08-16,"Durazo",17.2
"155",2020-08-17,"Durazo",17.07
"156",2020-08-18,"Durazo",17.5
"157",2020-08-19,"Durazo",17.29
"158",2020-08-20,"Durazo",16.99
"159",2020-08-21,"Durazo",17.29
"160",2020-08-22,"Durazo",17.07
"161",2020-08-23,"Durazo",16.9
"162",2020-08-24,"Durazo",16.64
"163",2020-08-25,"Durazo",16.17
"164",2020-08-26,"Durazo",16.56
"165",2020-08-27,"Durazo",16.64
